[19:42:53.452] Namespace(root_path='./datasets/kits23/train_npz', dataset='kits23', list_dir='./lists/kits23', num_classes_old=9, num_classes_new=4, output_dir='./finetune_surgical_tpgm_kits23_continual', max_iterations=10000, max_epochs=50, batch_size=32, n_gpu=1, deterministic=1, base_lr=0.001, img_size=224, seed=1234, cfg='configs/finetune.yaml', pretrained_path='./pretrain/epoch_149.pth', data_fraction=1.0, freeze_layers=0, kd_temperature=3.0, kd_weight=0.3, freeze_old_classes=False, auto_tune='RGN', gradient_batches=5, tpgm_norm_mode='mars', tpgm_lr=0.001, tpgm_iters=100, tpgm_exclude=[], tpgm_weight=0.2, tpgm_data_fraction=0.1, opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, num_classes=4, model_num_classes=9)
[19:42:53.484] Training samples: 85699, TPGM samples: 9522
[19:42:53.486] Old classes: 9, New classes: 4, Total: 12
[19:43:03.722] Combined Surgical + TPGM Continual Learning Configuration:
[19:43:03.722] KD Temperature: 3.0
[19:43:03.722] KD Weight: 0.3
[19:43:03.722] TPGM Weight: 0.2
[19:43:03.722] Auto-tune method: RGN
[19:43:03.722] TPGM norm mode: mars
[19:43:03.722] 2679 iterations per epoch. 133950 max iterations 
[19:43:03.725] 
[EPOCH 1] Calculating gradient weights for surgical fine-tuning...
[19:43:17.895] RGN: Max weight before normalization: 0.466346
[19:43:17.936] 
================================================================================
[19:43:17.937] SURGICAL + TPGM CONTINUAL LEARNING - RGN METHOD
[19:43:17.937] ================================================================================
[19:43:17.937] Layer Name                                         Weight       Learning Rate  
[19:43:17.937] --------------------------------------------------------------------------------
[19:43:17.937] base_model.cswin_unet.concat_linear3.bias          1.000000     0.00100000      [ACTIVE]
[19:43:17.937] base_model.cswin_unet.concat_linear4.bias          0.504645     0.00050465      [ACTIVE]
[19:43:17.937] base_model.cswin_unet.stage1.0.attns.1.get_v.bias  0.386280     0.00038628      [ACTIVE]
[19:43:17.938] base_model.cswin_unet.concat_linear2.bias          0.370147     0.00037015      [ACTIVE]
[19:43:17.938] base_model.cswin_unet.stage_up1.0.attns.1.get_v.bias 0.331823     0.00033182      [ACTIVE]
[19:43:17.938] base_model.cswin_unet.stage1.0.attns.0.get_v.bias  0.291179     0.00029118      [ACTIVE]
[19:43:17.938] base_model.cswin_unet.upsample2.out.bias           0.258208     0.00025821      [ACTIVE]
[19:43:17.938] base_model.cswin_unet.concat_linear2.weight        0.240203     0.00024020      [ACTIVE]
