[23:56:11.276] Namespace(root_path='./datasets/kits23/train_npz', dataset='kits23', list_dir='./lists/kits23', num_classes_old=9, num_classes_new=4, output_dir='./debug_simple_tpgm', max_iterations=10000, max_epochs=5, batch_size=32, n_gpu=1, deterministic=1, base_lr=0.001, img_size=224, seed=1234, cfg='configs/finetune.yaml', pretrained_path='./pretrain/epoch_149.pth', data_fraction=0.35, kd_temperature=3.0, kd_weight=0.2, freeze_old_classes=False, auto_tune='none', gradient_batches=5, tpgm_norm_mode='l2', tpgm_lr=0.01, tpgm_iters=200, tpgm_exclude=[], tpgm_frequency=5, tpgm_start_epoch=10, disable_tpgm=False, tpgm_data_fraction=0.1, opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False)
[23:56:11.297] Using 33327/95221 samples (35.0%) for continual learning
[23:56:11.297] Old classes: 9, New classes: 4, Total: 12
[23:56:11.297] TPGM enabled: True
[23:56:11.297] Surgical fine-tuning method: none
[23:58:29.193] Combined Continual Learning + Surgical + TPGM Configuration:
[23:58:29.194] KD Temperature: 3.0
[23:58:29.194] KD Weight: 0.2
[23:58:29.194] Auto-tune method: none
[23:58:29.194] TPGM start epoch: 10
[23:58:29.194] TPGM frequency: 5
[23:58:29.194] 1042 iterations per epoch. 5210 max iterations 
[23:58:46.973] iteration 10 : loss : 6301.992676, loss_ce: 0.198181, loss_kd: 31507.916016
[23:58:52.446] iteration 20 : loss : 5235.099121, loss_ce: 0.222409, loss_kd: 26172.578125
[23:58:57.946] iteration 30 : loss : 3640.593750, loss_ce: 0.151602, loss_kd: 18200.001953
[23:59:03.437] iteration 40 : loss : 2744.828369, loss_ce: 0.209289, loss_kd: 13721.267578
[23:59:08.946] iteration 50 : loss : 2040.166992, loss_ce: 0.166130, loss_kd: 10197.995117
[23:59:14.448] iteration 60 : loss : 2317.333984, loss_ce: 0.163122, loss_kd: 11583.814453
[23:59:19.958] iteration 70 : loss : 1679.260620, loss_ce: 0.213664, loss_kd: 8393.434570
[23:59:25.466] iteration 80 : loss : 1606.224243, loss_ce: 0.095745, loss_kd: 8028.332031
[23:59:30.984] iteration 90 : loss : 1351.611938, loss_ce: 0.118228, loss_kd: 6755.125000
[23:59:36.491] iteration 100 : loss : 1473.906616, loss_ce: 0.089193, loss_kd: 7366.684082
[23:59:42.023] iteration 110 : loss : 1208.943604, loss_ce: 0.121265, loss_kd: 6041.935547
[23:59:47.534] iteration 120 : loss : 1323.377808, loss_ce: 0.070310, loss_kd: 6614.161621
[23:59:53.060] iteration 130 : loss : 1045.191650, loss_ce: 0.075926, loss_kd: 5223.224609
[23:59:58.573] iteration 140 : loss : 1376.516357, loss_ce: 0.038102, loss_kd: 6879.866211
[00:00:04.101] iteration 150 : loss : 1371.044434, loss_ce: 0.069519, loss_kd: 6852.440918
[00:00:09.621] iteration 160 : loss : 1154.909424, loss_ce: 0.030118, loss_kd: 5771.775879
[00:00:15.150] iteration 170 : loss : 1162.571411, loss_ce: 0.027913, loss_kd: 5810.291016
[00:00:20.673] iteration 180 : loss : 1432.007080, loss_ce: 0.018618, loss_kd: 7157.342285
